datetime,光電業,其他,化學工業,半導體,居家生活,建材營造,數位雲端,文化創意業,材料,汽車工業,油電燃氣業,生技醫療,綠能環保,航運業,觀光餐旅,資訊服務業,通信網路業,金融業,鋼鐵工業,電子商務,電子通路業,電子零組件,電機機械,電腦及週邊,食品工業
2014-02-10,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-02-11,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-02-12,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-02-13,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-02-14,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-02-17,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-02-18,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-02-19,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-02-20,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-02-21,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-02-24,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-02-25,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-02-26,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-02-27,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-03-03,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-03-04,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-03-05,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-03-06,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-03-07,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-03-10,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-03-11,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-03-12,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-03-13,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-03-14,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-03-17,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-03-18,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-03-19,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-03-20,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-03-21,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-03-24,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-03-25,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-03-26,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-03-27,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-03-28,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-03-31,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-04-01,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-04-02,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-04-03,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-04-07,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-04-08,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-04-09,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-04-10,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-04-11,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-04-14,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-04-15,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-04-16,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-04-17,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-04-18,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-04-21,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
2014-04-22,3,1,2,3,2,2,5,3,2,0,2,0,1,2,2,1,1,2,2,4,3,3,1,3,2
